set_number,original_pair,trial_index,master_image_file,layout,word,word_type,correct_side,user_choice
13,128,93,pair_128_sharp-left.png,sharp-left,NOHMOO,pseudoword,B,B
13,32,94,pair_32_round-left.png,round-left,MOHMOO,pseudoword,A,A
13,7,95,pair_07_round-left.png,round-left,BOUBA,canonical,A,A
13,181,96,pair_181_round-left.png,round-left,KAYPUH,pseudoword,B,A
13,177,97,pair_177_round-left.png,round-left,MOONOO,pseudoword,A,A
13,153,98,pair_153_sharp-left.png,sharp-left,LAHNAH,pseudoword,B,B
13,84,99,pair_84_sharp-left.png,sharp-left,KAYTEE,pseudoword,A,B
13,38,100,pair_38_sharp-left.png,sharp-left,PEEPUH,pseudoword,A,B
13,45,101,pair_45_round-left.png,round-left,LOOLAH,pseudoword,A,A
13,91,102,pair_91_round-left.png,round-left,PEETUH,pseudoword,B,B
13,117,103,pair_117_sharp-left.png,sharp-left,MAHMOO,pseudoword,B,B
13,33,104,pair_33_sharp-left.png,sharp-left,NAHNOH,pseudoword,B,B
13,15,105,pair_15_sharp-left.png,sharp-left,TEEPEE,pseudoword,A,A
13,131,106,pair_131_round-left.png,round-left,NAHLAH,pseudoword,A,A
13,164,107,pair_164_round-left.png,round-left,PEEKAY,pseudoword,B,B
13,95,108,pair_95_sharp-left.png,sharp-left,MOHLOO,pseudoword,B,B
13,56,109,pair_56_round-left.png,round-left,NOHMAH,pseudoword,A,A
13,130,110,pair_130_round-left.png,round-left,PAYPAY,pseudoword,B,B
